"
01_Aquit_82441",,02_Square_85041,,DISTANCE = 7
Be,0,Be,0,0
Be,0,Be,0,0
Be,1,Be,1,0
ne,-2,ne,-2,0
ne,1,ne,1,0
di,2,di,2,0
di,1,di,1,0
ci,-1,ci,-1,0
ci,-2,ci,-2,0
te,1,te,1,0
te,0,te,0,0
te,0,te,-2,1
te,-2,te,1,2
te,1,te,-1,2
te,-1,om,3,2
om,3,nes,0,2
nes,0,an,2,2
An,2,an,1,2
An,1,ge,-2,2
ge,-2,li,-1,2
li,-1,do,1,2
Do,1,mi,-1,2
mi,-1,ni,-1,2
ni,-1,do,2,2
Do,2,do,1,2
Do,1,do,-1,2
Do,-1,mi,-1,2
mi,-1,mi,1,2
mi,1,mi,-1,2
mi,-1,num,0,2
num,0,hym,0,2
hym,0,num,0,2
num,0,di,2,2
di,1,di,1,2
di,1,ci,-2,3
ci,-1,te,-1,3
ci,-1,te,1,4
te,0,te,1,5
te,1,te,1,5
te,1,te,-1,5
te,1,te,0,6
te,-1,te,-1,6
te,0,et,0,6
te,-1,su,1,6
et,0,su,1,6
su,1,su,-1,6
su,1,pe,-2,6
su,-1,re,1,6
pe,-2,xal,-1,6
re,1,ta,-1,6
xal,-1,ta,1,6
ta,-1,ta,1,6
ta,1,te,-1,6
ta,1,e,-2,6
te,-1,e,1,6
e,0,e,-1,7
e,-2,e,-1,8
e,1,e,1,8
e,-1,um,0,8
e,-1,um,-1,8
e,1,in,1,8
um,0,in,1,8
um,-1,in,0,8
in,1,in,-2,8
in,1,sae,3,8
in,0,sae,1,8
in,0,sae,-1,9
in,-2,sae,-1,10
se,3,sae,1,10
se,1,sae,1,10
se,-1,sae,0,10
se,-1,sae,-1,10
se,1,cu,-2,10
se,1,cu,2,10
se,-1,cu,-1,10
cu,-2,cu,0,10
cu,2,la,0,10
cu,-1,la,-1,10
cu,0,,,9
la,0,,,8
la,-1,,,7
"
","
","
","
","
"
"
03_Aquit_56766",,04_Square_84909,,DISTANCE = 23
De,0,De,0,0
fru,1,fru,1,0
fru,1,fru,1,0
ctu,0,ctu,0,0
o,0,o,0,0
pe,0,pe,0,0
rum,0,rum,0,0
tu,-1,tu,-1,0
o,1,o,1,0
